120 10
5 12
2 8 33
2 6 39
3 4 39
2 10 30
4 3 33
3 5 34
2 4 38
3 9 30
3 2 35
3 9 28
2 2 28
3 2 30
4 5 34
2 8 35
2 1 31
3 6 30
4 8 25
4 3 37
3 5 38
4 4 33
4 6 33
3 9 28
2 7 31
2 1 39
3 7 33
2 9 29
3 2 31
2 7 31
2 5 32
3 5 27
4 9 27
4 6 31
2 5 36
2 4 29
2 1 28
3 10 36
4 5 34
4 9 40
4 3 32
4 7 39
3 3 40
3 1 28
2 10 37
2 3 26
3 5 35
2 7 32
3 5 32
3 8 27
4 1 25
3 8 31
4 5 26
3 3 27
2 7 38
4 2 34
4 3 40
4 5 29
2 4 31
3 10 34
3 10 29
4 8 27
3 10 31
2 3 36
4 2 29
4 2 30
2 9 25
2 6 40
2 10 37
4 7 36
3 8 26
3 3 34
3 5 25
3 2 31
2 2 34
2 3 26
3 7 33
4 10 27
4 6 29
4 8 26
3 7 26
2 9 34
3 6 31
2 1 39
2 3 40
2 5 35
2 2 38
4 8 32
4 6 33
2 6 40
4 5 30
2 3 32
3 8 36
3 5 28
3 2 38
2 9 27
4 3 29
4 6 34
3 9 34
4 3 35
2 6 39
4 6 38
4 8 29
3 7 33
2 4 40
4 3 26
3 7 29
2 8 38
2 2 28
2 3 33
4 9 25
3 5 40
2 2 34
2 4 27
4 6 37
4 9 38
4 2 33
4 10 33
2 10 26
3 10 39
3 8 31
4 2 29
30 30 30 40 30 30 40 30 30 30 
