200 20
5 12
2 10 38
3 4 32
4 20 40
2 4 34
4 15 38
2 14 37
3 11 37
2 7 33
2 8 37
4 19 31
4 18 38
4 19 36
3 6 33
4 9 36
4 1 27
3 9 27
4 6 38
4 7 39
2 3 34
2 1 28
3 12 39
3 18 37
3 2 25
4 14 27
3 13 25
3 20 37
2 2 34
2 6 33
4 1 32
3 8 32
3 15 39
4 8 32
4 19 33
2 14 29
2 14 36
4 11 39
2 14 25
2 15 36
3 2 31
2 19 30
4 13 29
4 6 36
4 17 33
2 20 39
4 1 25
4 12 38
2 3 35
4 7 27
2 5 28
4 5 32
4 13 37
4 8 25
3 9 39
4 14 33
4 12 29
2 17 33
3 5 27
2 14 35
4 20 38
2 9 36
2 18 36
3 7 32
4 16 27
3 11 26
3 19 38
2 11 30
3 12 32
4 8 26
4 15 34
3 20 26
2 1 30
2 12 26
4 6 36
2 5 30
2 11 31
2 9 37
4 17 29
3 2 37
4 3 33
3 15 30
4 8 26
4 3 30
4 2 30
2 17 33
4 19 29
2 5 38
4 9 38
3 17 34
2 18 30
4 15 29
4 6 35
3 17 37
2 8 36
3 15 36
2 1 40
2 14 29
2 8 30
2 17 31
3 19 28
3 6 32
3 5 33
3 3 36
3 2 26
4 14 25
4 19 25
3 10 26
4 7 36
2 7 36
2 3 40
3 8 39
3 1 31
2 2 39
2 7 38
4 7 27
3 15 37
2 19 31
3 20 40
2 8 35
4 13 26
2 5 27
3 6 27
4 11 28
2 1 34
4 4 27
3 13 38
2 15 39
2 18 26
3 10 38
3 16 25
2 15 40
4 15 25
2 16 30
3 8 26
3 7 38
2 6 40
4 2 33
2 16 30
3 15 27
2 7 27
4 7 36
2 18 38
3 7 31
3 8 27
4 9 34
4 15 31
3 15 38
4 5 37
2 11 36
4 20 36
3 15 33
3 2 34
4 13 30
2 19 25
3 2 40
4 20 40
4 20 26
3 18 38
4 18 30
4 9 33
3 14 38
2 3 25
3 1 30
3 3 32
3 10 31
3 6 31
4 4 28
2 13 32
2 11 39
2 9 31
2 19 30
4 1 40
2 6 34
4 7 31
2 16 39
2 3 37
2 10 34
3 5 25
2 20 28
2 15 39
4 19 39
2 1 38
4 2 25
2 18 27
3 5 31
3 8 40
2 15 33
3 13 36
4 11 29
4 15 33
2 20 33
2 11 34
4 1 26
3 9 27
2 17 29
3 8 35
2 10 25
4 9 33
4 7 32
3 20 27
4 2 30
40 30 40 30 40 40 30 40 40 40 30 40 40 40 40 30 30 40 30 30 
